Location	File_Name	start	end	min_freq	max_freq	certainty	call_type	species	Noise_Types	Noise_Level
Crossroad	020419_220001.wav.data	22:05:58	22:06:20	2016.0	3046.0	100	M	K-Far	["Wind", "Wind Gusts"]	High
Crossroad	020419_220001.wav.data	22:06:20	22:06:25	1108.0	1842.0	100	M	K-Far	["Wind", "Wind Gusts"]	High
Crossroad	020419_220001.wav.data	22:06:20	22:06:25	1108.0	1842.0	100	M	K-Set	["Wind", "Wind Gusts"]	High
Crossroad	020419_220001.wav.data	22:06:20	22:06:25	1108.0	1842.0	100	M	K-F	["Wind", "Wind Gusts"]	High
Crossroad	020419_220001.wav.data	22:05:58	22:06:26	1021.0	3349.0	100	M	Duet	["Wind", "Wind Gusts"]	High
Crossroad	020419_220001.wav.data	22:10:51	22:11:15	1877.0	3070.0	100	M	K-Set	["Wind", "Wind Gusts"]	High
Crossroad	020419_220001.wav.data	22:10:51	22:11:15	1877.0	3070.0	100	M	K-M	["Wind", "Wind Gusts"]	High
Crossroad	020419_220001.wav.data	22:10:51	22:11:15	1877.0	3070.0	100	M	K-Ok	["Wind", "Wind Gusts"]	High
Crossroad	020419_221502.wav.data	22:26:31	22:26:46	1101.0	3741.0	100	M	K-Set	["Wind"]	High
Crossroad	020419_221502.wav.data	22:26:31	22:26:46	1101.0	3741.0	100	M	K-F	["Wind"]	High
Crossroad	020419_221502.wav.data	22:26:31	22:26:46	1101.0	3741.0	100	M	K-Ok	["Wind"]	High
Crossroad	020419_221502.wav.data	22:26:46	22:27:08	1868.0	3481.0	100	M	K-Set	["Wind"]	High
Crossroad	020419_221502.wav.data	22:26:46	22:27:08	1868.0	3481.0	100	M	K-M	["Wind"]	High
Crossroad	020419_221502.wav.data	22:26:46	22:27:08	1868.0	3481.0	100	M	K-Ok	["Wind"]	High
Crossroad	020419_221502.wav.data	22:26:30	22:27:08	1034.0	3834.0	100	M	Duet	["Wind"]	High
Crossroad	020419_223002.wav.data	22:42:47	22:43:11	1270.0	2191.0	100	M	K-M	["Wind"]	High
Crossroad	020419_223002.wav.data	22:42:47	22:43:11	1270.0	2191.0	100	M	K-F	["Wind"]	High
Crossroad	020419_223002.wav.data	22:42:47	22:43:11	1270.0	2191.0	100	M	K-Set	["Wind"]	High
Crossroad	020419_224502.wav.data	22:46:46	22:47:06	1233.0	3261.0	100	M	K-Set	["Wind"]	Medium
Crossroad	020419_224502.wav.data	22:46:46	22:47:06	1233.0	3261.0	100	M	K-M	["Wind"]	Medium
Crossroad	020419_224502.wav.data	22:46:46	22:47:06	1233.0	3261.0	100	M	K-Ok	["Wind"]	Medium
Crossroad	020419_224502.wav.data	22:47:07	22:47:18	1283.0	3187.0	100	M	K-Ok	["Wind"]	Medium
Crossroad	020419_224502.wav.data	22:47:07	22:47:18	1283.0	3187.0	100	M	K-Set	["Wind"]	Medium
Crossroad	020419_224502.wav.data	22:47:07	22:47:18	1283.0	3187.0	100	M	K-F	["Wind"]	Medium
Crossroad	020419_233002.wav.data	23:33:24	23:33:39	1263.0	3359.0	100	M	K-Set	["Wind"]	Medium
Crossroad	020419_233002.wav.data	23:33:24	23:33:39	1263.0	3359.0	100	M	K-F	["Wind"]	Medium
Crossroad	020419_233002.wav.data	23:33:24	23:33:39	1263.0	3359.0	100	M	K-Ok	["Wind"]	Medium
Crossroad	020419_233002.wav.data	23:33:39	23:33:52	1183.0	3184.0	100	M	K-M	["Wind"]	Medium
