File Name,Call Type,Length (seconds),Start Time,Trap Number
Crossroad-040419_230002-S94-E118,Male,24.0,2019-04-05 12:01,Secretary_Island/Crossroad
Crossroad-050320_220001-S129-E145,Male,16.0,2020-03-06 11:02,Secretary_Island/Crossroad
Crossroad-050320_220001-S159-E166,Female,7.0,2020-03-06 11:02,Secretary_Island/Crossroad
Crossroad-050320_220001-S168-E177,Female,9.0,2020-03-06 11:02,Secretary_Island/Crossroad
Crossroad-050320_220001-S295-E322,Male,27.0,2020-03-06 11:04,Secretary_Island/Crossroad
Crossroad-050320_221502-S310-E337,Male,27.0,2020-03-06 11:20,Secretary_Island/Crossroad
Crossroad-050320_221502-S353-E371,Male,18.0,2020-03-06 11:20,Secretary_Island/Crossroad
Crossroad-050320_223002-S554-E564,Male,10.0,2020-03-06 11:39,Secretary_Island/Crossroad
Crossroad-050320_223002-S68-E78,Male,10.0,2020-03-06 11:31,Secretary_Island/Crossroad
Crossroad-050418_220001-S88-E104,Male,16.0,2018-04-06 10:01,Secretary_Island/Crossroad
Crossroad-050419_223002-S486-E507,Male,21.0,2019-04-06 11:38,Secretary_Island/Crossroad
Crossroad-050419_234502-S348-E354,Female,6.0,2019-04-06 12:50,Secretary_Island/Crossroad
Crossroad-050419_234502-S352-E361,Male,9.0,2019-04-06 12:50,Secretary_Island/Crossroad
Crossroad-060320_220001-S703-E712,Male,9.0,2020-03-07 11:11,Secretary_Island/Crossroad
Crossroad-060320_221502-S780-E786,Female,6.0,2020-03-07 11:28,Secretary_Island/Crossroad
Crossroad-060320_231502-S885-E896,Male,11.0,2020-03-07 12:29,Secretary_Island/Crossroad
Crossroad-060418_221502-S138-E155,Male,17.0,2018-04-07 10:17,Secretary_Island/Crossroad
Crossroad-060418_221502-S204-E214,Male,10.0,2018-04-07 10:18,Secretary_Island/Crossroad
Crossroad-060418_231502-S318-E324,Male,6.0,2018-04-07 11:20,Secretary_Island/Crossroad
Crossroad-060419_224502-S777-E796,Female,19.0,2019-04-07 10:57,Secretary_Island/Crossroad
Crossroad-060419_224502-S797-E818,Male,21.0,2019-04-07 10:58,Secretary_Island/Crossroad
Crossroad-060419_230002-S42-E69,Female,27.0,2019-04-07 11:00,Secretary_Island/Crossroad
Crossroad-060420_221503-S103-E122,Male,19.0,2020-04-07 10:16,Secretary_Island/Crossroad
Crossroad-060519_220001-S681-E702,Male,21.0,2019-05-07 10:11,Secretary_Island/Crossroad
Crossroad-060519_220001-S83-E90,Female,7.0,2019-05-07 10:01,Secretary_Island/Crossroad
Crossroad-060519_220001-S89-E106,Male,17.0,2019-05-07 10:01,Secretary_Island/Crossroad
Crossroad-070320_223002-S425-E435,Male,10.0,2020-03-08 11:37,Secretary_Island/Crossroad
Crossroad-070320_223002-S731-E737,Male,6.0,2020-03-08 11:42,Secretary_Island/Crossroad
Crossroad-070320_223002-S794-E803,Male,9.0,2020-03-08 11:43,Secretary_Island/Crossroad
Crossroad-070320_234502-S389-E407,Male,18.0,2020-03-08 12:51,Secretary_Island/Crossroad
Crossroad-070418_221502-S881-E897,Male,16.0,2018-04-08 10:29,Secretary_Island/Crossroad
Crossroad-070418_223002-S1-E15,Male,14.0,2018-04-08 10:30,Secretary_Island/Crossroad
Crossroad-070418_223002-S173-E189,Male,16.0,2018-04-08 10:32,Secretary_Island/Crossroad
Crossroad-070418_223002-S194-E210,Male,16.0,2018-04-08 10:33,Secretary_Island/Crossroad
Crossroad-070418_224502-S793-E817,Male,24.0,2018-04-08 10:58,Secretary_Island/Crossroad
Crossroad-070418_224502-S882-E898,Male,16.0,2018-04-08 10:59,Secretary_Island/Crossroad
