File Name,Label,Comment,Image,Audio,Call Type,Length (seconds),Start Time,Trap Number,Collaborators
Grono-150319_230002-S865-E872,Junk,,Grono-150319_230002-S865-E872.png (https://dl.airtable.com/.attachments/219a4d29380ac660e25b95be0a862771/3fb5e5e1/Grono-150319_230002-S865-E872.png),Grono-150319_230002-S865-E872.wav (https://dl.airtable.com/.attachments/c1c92b7148285fdb6106394ec68651d4/b066797e/Grono-150319_230002-S865-E872.wav),Male,7.0,2019-03-16 12:14,Secretary_Island/Grono,
Grono-150319_233002-S389-E416,Kiwi,"Close, haunting",Grono-150319_233002-S389-E416.png (https://dl.airtable.com/.attachments/17c6ddc2e6e7d720d57713e1d5448c83/7c8a0535/Grono-150319_233002-S389-E416.png),Grono-150319_233002-S389-E416.wav (https://dl.airtable.com/.attachments/aca770e895fb11dc07998cfb194f9fcb/36320d4e/Grono-150319_233002-S389-E416.wav),Male,27.0,2019-03-16 12:36,Secretary_Island/Grono,
Grono-150419_224502-S663-E681,Kiwi,,Grono-150419_224502-S663-E681.png (https://dl.airtable.com/.attachments/bd1afd15a5cb03e2cf4bd3470418e5df/d9916f0d/Grono-150419_224502-S663-E681.png),Grono-150419_224502-S663-E681.wav (https://dl.airtable.com/.attachments/5f52122bcdef0a68de562d2c70503a2d/99aa3940/Grono-150419_224502-S663-E681.wav),Male,18.0,2019-04-16 10:56,Secretary_Island/Grono,
Grono-150419_230002-S660-E666,Kiwi,,Grono-150419_230002-S660-E666.png (https://dl.airtable.com/.attachments/2314c15785a3fa992381c93df633a12a/210cbbb5/Grono-150419_230002-S660-E666.png),Grono-150419_230002-S660-E666.wav (https://dl.airtable.com/.attachments/53c857b6482e608b1564b1567deea862/71504180/Grono-150419_230002-S660-E666.wav),Male,6.0,2019-04-16 11:11,Secretary_Island/Grono,
Grono-150419_233002-S498-E507,Kiwi,,Grono-150419_233002-S498-E507.png (https://dl.airtable.com/.attachments/bb1d65d031dd3792b6a2acfc02779a57/45e42536/Grono-150419_233002-S498-E507.png),Grono-150419_233002-S498-E507.wav (https://dl.airtable.com/.attachments/70bd73848593faa00d285ed17cbfc71a/09b89575/Grono-150419_233002-S498-E507.wav),Male,9.0,2019-04-16 11:38,Secretary_Island/Grono,
Grono-150518_220001-S625-E632,Junk,,Grono-150518_220001-S625-E632.png (https://dl.airtable.com/.attachments/25674364664ab8c59f1469c53cfabe84/11463844/Grono-150518_220001-S625-E632.png),Grono-150518_220001-S625-E632.wav (https://dl.airtable.com/.attachments/2ca6862d81194f1fcf08107d47a13df8/e62afce7/Grono-150518_220001-S625-E632.wav),Female,7.0,2018-05-16 10:10,Secretary_Island/Grono,
Grono-150519_223002-S125-E131,Junk,,Grono-150519_223002-S125-E131.png (https://dl.airtable.com/.attachments/a84f7fd5e71c557c8d1361c8342bb235/69b94a9b/Grono-150519_223002-S125-E131.png),Grono-150519_223002-S125-E131.wav (https://dl.airtable.com/.attachments/ffc83df55b1adb998bf26fc352c2e676/11046faa/Grono-150519_223002-S125-E131.wav),Female,6.0,2019-05-16 10:32,Secretary_Island/Grono,
Grono-160319_223002-S65-E80,Kiwi,,Grono-160319_223002-S65-E80.png (https://dl.airtable.com/.attachments/1f49fb8c55f3c3b4cb3449dc21594cf5/081703ee/Grono-160319_223002-S65-E80.png),Grono-160319_223002-S65-E80.wav (https://dl.airtable.com/.attachments/807ca611bbdfea2360411480dbb71ba7/c17f4669/Grono-160319_223002-S65-E80.wav),Female,15.0,2019-03-17 11:31,Secretary_Island/Grono,
Grono-160319_224502-S25-E34,Kiwi,,Grono-160319_224502-S25-E34.png (https://dl.airtable.com/.attachments/5f404484eb7874de23ce9e51b12273bc/70bed8b2/Grono-160319_224502-S25-E34.png),Grono-160319_224502-S25-E34.wav (https://dl.airtable.com/.attachments/41baea3c31defed1dfb9357afe850b74/694a3616/Grono-160319_224502-S25-E34.wav),Female,9.0,2019-03-17 11:45,Secretary_Island/Grono,
Grono-160319_224502-S39-E66,Kiwi,,Grono-160319_224502-S39-E66.png (https://dl.airtable.com/.attachments/c125db863e1cb050225f12c6171a2254/ee253d91/Grono-160319_224502-S39-E66.png),Grono-160319_224502-S39-E66.wav (https://dl.airtable.com/.attachments/1c2f8444661766b4bb5d82e2495461a7/08f8ddc6/Grono-160319_224502-S39-E66.wav),Male,27.0,2019-03-17 11:45,Secretary_Island/Grono,
