File Name,Label,Comment,Image,Audio,Call Type,Length (seconds),Start Time,Trap Number,Collaborators
Lake_Sec-110418_220001-S509-E525,Kiwi,Far,Lake_Sec-110418_220001-S509-E525.png (https://dl.airtable.com/.attachments/cae9894fb45f29c654dc4ef9bdadbd22/e979bb76/Lake_Sec-110418_220001-S509-E525.png),Lake_Sec-110418_220001-S509-E525.wav (https://dl.airtable.com/.attachments/8c19967fa9f0fcba43f67547bcbfa96c/89722937/Lake_Sec-110418_220001-S509-E525.wav),Male,16.0,2018-04-12 10:08,Secretary_Island/Lake_Sec,
Lake_Sec-110418_220001-S734-E741,Junk,,Lake_Sec-110418_220001-S734-E741.png (https://dl.airtable.com/.attachments/e5893566573c16f88dbb82146e1b6dd0/ae63dd4c/Lake_Sec-110418_220001-S734-E741.png),Lake_Sec-110418_220001-S734-E741.wav (https://dl.airtable.com/.attachments/1d77ee0381412a78262af937657e9acb/0fc35dda/Lake_Sec-110418_220001-S734-E741.wav),Male,7.0,2018-04-12 10:12,Secretary_Island/Lake_Sec,
Lake_Sec-110418_230002-S308-E315,Junk,,Lake_Sec-110418_230002-S308-E315.png (https://dl.airtable.com/.attachments/19572a8accfaa28b5a890c661f5941c1/66f78906/Lake_Sec-110418_230002-S308-E315.png),Lake_Sec-110418_230002-S308-E315.wav (https://dl.airtable.com/.attachments/8a3c1ba2ba626ad67731f29a90a28f2c/3a696e5f/Lake_Sec-110418_230002-S308-E315.wav),Male,7.0,2018-04-12 11:05,Secretary_Island/Lake_Sec,
Lake_Sec-110418_233002-S730-E737,Junk,,Lake_Sec-110418_233002-S730-E737.png (https://dl.airtable.com/.attachments/f824a76a987f35c033b2854d58eab83c/99ce9250/Lake_Sec-110418_233002-S730-E737.png),Lake_Sec-110418_233002-S730-E737.wav (https://dl.airtable.com/.attachments/211997b9e0e9fc8a30191d306abe52fc/aaf717eb/Lake_Sec-110418_233002-S730-E737.wav),Male,7.0,2018-04-12 11:42,Secretary_Island/Lake_Sec,
Lake_Sec-110418_233002-S837-E853,Junk,,Lake_Sec-110418_233002-S837-E853.png (https://dl.airtable.com/.attachments/1e15a754d4e7038dce8b91c0df349980/7934494d/Lake_Sec-110418_233002-S837-E853.png),Lake_Sec-110418_233002-S837-E853.wav (https://dl.airtable.com/.attachments/fa59bd1a57431d42c4948a1ec246cd6c/1d243ddc/Lake_Sec-110418_233002-S837-E853.wav),Male,16.0,2018-04-12 11:43,Secretary_Island/Lake_Sec,
Lake_Sec-110419_220001-S325-E335,Junk,,Lake_Sec-110419_220001-S325-E335.png (https://dl.airtable.com/.attachments/58fa4ace6b43ba83ec5b9f36cb541599/ca469ad3/Lake_Sec-110419_220001-S325-E335.png),Lake_Sec-110419_220001-S325-E335.wav (https://dl.airtable.com/.attachments/80e1abed74d7bb59e57505a5656d00be/d7c82b70/Lake_Sec-110419_220001-S325-E335.wav),Male,10.0,2019-04-12 10:05,Secretary_Island/Lake_Sec,
Lake_Sec-110419_220001-S354-E364,Junk,,Lake_Sec-110419_220001-S354-E364.png (https://dl.airtable.com/.attachments/41474052d8b2c01ada88abe1cc6b5a84/7ebda82b/Lake_Sec-110419_220001-S354-E364.png),Lake_Sec-110419_220001-S354-E364.wav (https://dl.airtable.com/.attachments/fdfe0dafda02fd5e91a955647b87a505/87d9cf8c/Lake_Sec-110419_220001-S354-E364.wav),Male,10.0,2019-04-12 10:05,Secretary_Island/Lake_Sec,
Lake_Sec-110419_220001-S456-E463,Junk,,Lake_Sec-110419_220001-S456-E463.png (https://dl.airtable.com/.attachments/2d4f7013080324f1f8e87c31ca45fc73/9eaa1960/Lake_Sec-110419_220001-S456-E463.png),Lake_Sec-110419_220001-S456-E463.wav (https://dl.airtable.com/.attachments/b6c96097443dd674c1185fb4cff40bc4/d9f2ca9a/Lake_Sec-110419_220001-S456-E463.wav),Male,7.0,2019-04-12 10:07,Secretary_Island/Lake_Sec,
Lake_Sec-110419_220001-S608-E618,Kiwi,Mixed with seals?,Lake_Sec-110419_220001-S608-E618.png (https://dl.airtable.com/.attachments/81d8ea56fbcca5453ac71d2f68229344/4acf946f/Lake_Sec-110419_220001-S608-E618.png),Lake_Sec-110419_220001-S608-E618.wav (https://dl.airtable.com/.attachments/556a27e628445fd7ac5471cbf8bcd8c5/2b037cfe/Lake_Sec-110419_220001-S608-E618.wav),Male,10.0,2019-04-12 10:10,Secretary_Island/Lake_Sec,
Lake_Sec-110419_220001-S620-E630,Kiwi,"Distant, mixed with. seals",Lake_Sec-110419_220001-S620-E630.png (https://dl.airtable.com/.attachments/b57d9fed429d4d208b4646526de97672/25b1e758/Lake_Sec-110419_220001-S620-E630.png),Lake_Sec-110419_220001-S620-E630.wav (https://dl.airtable.com/.attachments/7aa8d937437b2c4f803c9ea07853af04/a2ea557c/Lake_Sec-110419_220001-S620-E630.wav),Male,10.0,2019-04-12 10:10,Secretary_Island/Lake_Sec,
Crossroad-060419_234502-S5-E20,Junk,,Crossroad-060419_234502-S5-E20.png (https://dl.airtable.com/.attachments/8eaddb1c7e35a7a83b9b375c2bb01553/574078f5/Crossroad-060419_234502-S5-E20.png),Crossroad-060419_234502-S5-E20.wav (https://dl.airtable.com/.attachments/00a9cae8d4bc08738667116991ff9aa1/0ee9778b/Crossroad-060419_234502-S5-E20.wav),Male,15.0,2019-04-07 11:45,Secretary_Island/Crossroad,
Crossroad-060419_234502-S54-E64,Junk,,Crossroad-060419_234502-S54-E64.png (https://dl.airtable.com/.attachments/0444f0640d1cfcca63489d3c47a5abf9/0ecc4791/Crossroad-060419_234502-S54-E64.png),Crossroad-060419_234502-S54-E64.wav (https://dl.airtable.com/.attachments/9f056ffedb3c21e29eee7b77a761d52e/ef160f62/Crossroad-060419_234502-S54-E64.wav),Male,10.0,2019-04-07 11:45,Secretary_Island/Crossroad,
Crossroad-060419_234502-S74-E81,Junk,,Crossroad-060419_234502-S74-E81.png (https://dl.airtable.com/.attachments/8172231c569e39ad34943dc9b0bf3fef/b223d945/Crossroad-060419_234502-S74-E81.png),Crossroad-060419_234502-S74-E81.wav (https://dl.airtable.com/.attachments/7f68e4aaa01ce2821ce6bd2667ae5f44/9736fa21/Crossroad-060419_234502-S74-E81.wav),Male,7.0,2019-04-07 11:46,Secretary_Island/Crossroad,
Crossroad-060419_234502-S150-E160,Junk,,Crossroad-060419_234502-S150-E160.png (https://dl.airtable.com/.attachments/dd304891a39ceb2d0c9263f364604eda/3dbb8bde/Crossroad-060419_234502-S150-E160.png),Crossroad-060419_234502-S150-E160.wav (https://dl.airtable.com/.attachments/2319e2e622882a19227baee0c87dabd1/45b6289d/Crossroad-060419_234502-S150-E160.wav),Male,10.0,2019-04-07 11:47,Secretary_Island/Crossroad,
Crossroad-060419_234502-S217-E224,Junk,,Crossroad-060419_234502-S217-E224.png (https://dl.airtable.com/.attachments/542bff76aaf8dcacd2f0d173ba700ead/abab6584/Crossroad-060419_234502-S217-E224.png),Crossroad-060419_234502-S217-E224.wav (https://dl.airtable.com/.attachments/4618f34e5d8e5944bc7e573389df99be/4283a9cb/Crossroad-060419_234502-S217-E224.wav),Male,7.0,2019-04-07 11:48,Secretary_Island/Crossroad,
Crossroad-060419_234502-S744-E757,Junk,,Crossroad-060419_234502-S744-E757.png (https://dl.airtable.com/.attachments/a393d159a2fe9eba65b8af0fb6a0ec06/05c0ed4d/Crossroad-060419_234502-S744-E757.png),Crossroad-060419_234502-S744-E757.wav (https://dl.airtable.com/.attachments/dc77eec781dcecbc7522b8b40eec5b02/6b86c423/Crossroad-060419_234502-S744-E757.wav),Male,13.0,2019-04-07 11:57,Secretary_Island/Crossroad,
Crossroad-060419_234502-S813-E820,Junk,,Crossroad-060419_234502-S813-E820.png (https://dl.airtable.com/.attachments/6ea6a4b4b314c9cd81c169bab46a857d/0a6283d3/Crossroad-060419_234502-S813-E820.png),Crossroad-060419_234502-S813-E820.wav (https://dl.airtable.com/.attachments/20c8bf0fcf3fd1c576338594c47060da/ee1f5e2b/Crossroad-060419_234502-S813-E820.wav),Male,7.0,2019-04-07 11:58,Secretary_Island/Crossroad,
Crossroad-060419_234502-S828-E841,Junk,,Crossroad-060419_234502-S828-E841.png (https://dl.airtable.com/.attachments/e00430801352bd927fbb313e2468ba41/aef1f7d2/Crossroad-060419_234502-S828-E841.png),Crossroad-060419_234502-S828-E841.wav (https://dl.airtable.com/.attachments/801bb33175d7ac1b64ad6ee0bf375889/d0dd9632/Crossroad-060419_234502-S828-E841.wav),Male,13.0,2019-04-07 11:58,Secretary_Island/Crossroad,
Crossroad-060419_234502-S866-E872,Junk,,Crossroad-060419_234502-S866-E872.png (https://dl.airtable.com/.attachments/de5319f8773bc4d64e2e61b0906658f9/63f9ca22/Crossroad-060419_234502-S866-E872.png),Crossroad-060419_234502-S866-E872.wav (https://dl.airtable.com/.attachments/d332ca287d3e71ede967d8b51f685a54/824169aa/Crossroad-060419_234502-S866-E872.wav),Male,6.0,2019-04-07 11:59,Secretary_Island/Crossroad,
Crossroad-060420_221503-S103-E122,Kiwi,,Crossroad-060420_221503-S103-E122.png (https://dl.airtable.com/.attachments/c03d3ba39b6c21d22752aa0681f5b459/fd5b78be/Crossroad-060420_221503-S103-E122.png),Crossroad-060420_221503-S103-E122.wav (https://dl.airtable.com/.attachments/d0354c27cbea28df750222e7ec4917ec/01f8ba23/Crossroad-060420_221503-S103-E122.wav),Male,19.0,2020-04-07 10:16,Secretary_Island/Crossroad,
N_River-120419_221502-S793-E808,Junk,,N_River-120419_221502-S793-E808.png (https://dl.airtable.com/.attachments/ff4954618e54e646e840a760c3d0a65c/d8c4ce88/N_River-120419_221502-S793-E808.png),N_River-120419_221502-S793-E808.wav (https://dl.airtable.com/.attachments/2aae872580b86f15a5d0dbe21188abf4/7e6ddb4c/N_River-120419_221502-S793-E808.wav),Male,15.0,2019-04-13 10:28,Secretary_Island/N_River,
N_River-120419_221502-S828-E838,Junk,,N_River-120419_221502-S828-E838.png (https://dl.airtable.com/.attachments/b7c37b8cfc406df2ca204542398c0cb7/aa90311b/N_River-120419_221502-S828-E838.png),N_River-120419_221502-S828-E838.wav (https://dl.airtable.com/.attachments/c72990301bf7e2726f4c2af13d58aa63/035acd96/N_River-120419_221502-S828-E838.wav),Male,10.0,2019-04-13 10:28,Secretary_Island/N_River,
N_River-120419_223002-S516-E523,Junk,,N_River-120419_223002-S516-E523.png (https://dl.airtable.com/.attachments/ed2b5bb91fb0e7362e82767b282d947e/b16ba76c/N_River-120419_223002-S516-E523.png),N_River-120419_223002-S516-E523.wav (https://dl.airtable.com/.attachments/2eeabe853b274325cffaad22e9544929/7e2514d5/N_River-120419_223002-S516-E523.wav),Male,7.0,2019-04-13 10:38,Secretary_Island/N_River,
N_River-120419_223002-S666-E673,Junk,,N_River-120419_223002-S666-E673.png (https://dl.airtable.com/.attachments/df396a9522d7b2e2e37f285b4d6a2e51/53e44180/N_River-120419_223002-S666-E673.png),N_River-120419_223002-S666-E673.wav (https://dl.airtable.com/.attachments/bc460009eda3f376003f10699eff22ba/c4f1fd3d/N_River-120419_223002-S666-E673.wav),Male,7.0,2019-04-13 10:41,Secretary_Island/N_River,
N_River-120519_233001-S348-E355,Junk,,N_River-120519_233001-S348-E355.png (https://dl.airtable.com/.attachments/38d7a0c920588728c4dd8b5d51311818/da756d22/N_River-120519_233001-S348-E355.png),N_River-120519_233001-S348-E355.wav (https://dl.airtable.com/.attachments/3476d2da14216037aca79d254a27d384/09ac91ff/N_River-120519_233001-S348-E355.wav),Male,7.0,2019-05-13 11:35,Secretary_Island/N_River,
N_River-130419_223002-S28-E35,Kiwi,,N_River-130419_223002-S28-E35.png (https://dl.airtable.com/.attachments/55202183496706381841c7e1e118cb22/0154c249/N_River-130419_223002-S28-E35.png),N_River-130419_223002-S28-E35.wav (https://dl.airtable.com/.attachments/0f1bda6e39a7d5bc3598841c5dbcaf33/883113b1/N_River-130419_223002-S28-E35.wav),Male,7.0,2019-04-14 10:30,Secretary_Island/N_River,
N_River-130419_224502-S170-E177,Kiwi,,N_River-130419_224502-S170-E177.png (https://dl.airtable.com/.attachments/852e87a80ea7a934fe8e57b3940ee8fb/7f597f9a/N_River-130419_224502-S170-E177.png),N_River-130419_224502-S170-E177.wav (https://dl.airtable.com/.attachments/36dcf1e9aebae53110a9b063bbf655b3/25aa8516/N_River-130419_224502-S170-E177.wav),Male,7.0,2019-04-14 10:47,Secretary_Island/N_River,
N_River-130419_224502-S532-E545,Kiwi,,N_River-130419_224502-S532-E545.png (https://dl.airtable.com/.attachments/c0c2074f6d405120456f8c101466e51d/b27b926c/N_River-130419_224502-S532-E545.png),N_River-130419_224502-S532-E545.wav (https://dl.airtable.com/.attachments/af73053f4f38a4d52fb761aadb68febb/a27b7223/N_River-130419_224502-S532-E545.wav),missing,13.0,2019-04-14 10:53,Secretary_Island/N_River,Fraser Skinner
N_River-130419_224502-S703-E730,Junk,,N_River-130419_224502-S703-E730.png (https://dl.airtable.com/.attachments/cefeefaede6ee3e9186a6a875449230f/b1457f91/N_River-130419_224502-S703-E730.png),N_River-130419_224502-S703-E730.wav (https://dl.airtable.com/.attachments/862ebcb3927899600f253e5b0c50b902/70a34a46/N_River-130419_224502-S703-E730.wav),Male,27.0,2019-04-14 10:56,Secretary_Island/N_River,
N_River-130518_231502-S567-E574,Junk,,N_River-130518_231502-S567-E574.png (https://dl.airtable.com/.attachments/2dbf8708398c7a6316f332a22724878a/9ce2c351/N_River-130518_231502-S567-E574.png),N_River-130518_231502-S567-E574.wav (https://dl.airtable.com/.attachments/5a2ead598db3ea8eb0bef04c63efd6c7/d884d08e/N_River-130518_231502-S567-E574.wav),Female,7.0,2018-05-14 11:24,Secretary_Island/N_River,
Crossroad-070419_231502-S304-E311,Junk,,Crossroad-070419_231502-S304-E311.png (https://dl.airtable.com/.attachments/2cc7fa87bc0c73c9c208783e9ff23128/404853a2/Crossroad-070419_231502-S304-E311.png),Crossroad-070419_231502-S304-E311.wav (https://dl.airtable.com/.attachments/d77702c7c061c968b08babb559317c96/95d5450a/Crossroad-070419_231502-S304-E311.wav),Male,7.0,2019-04-08 11:20,Secretary_Island/Crossroad,
Crossroad-070419_231502-S326-E347,Junk,,Crossroad-070419_231502-S326-E347.png (https://dl.airtable.com/.attachments/76795bc648dce3dc0dce61e5968e39c6/df4a97ea/Crossroad-070419_231502-S326-E347.png),Crossroad-070419_231502-S326-E347.wav (https://dl.airtable.com/.attachments/d1915e72020f0593b50507090f21fb13/8e6c9f34/Crossroad-070419_231502-S326-E347.wav),Male,21.0,2019-04-08 11:20,Secretary_Island/Crossroad,
Crossroad-070419_231502-S353-E359,Junk,,Crossroad-070419_231502-S353-E359.png (https://dl.airtable.com/.attachments/f52cc0e613427bcd4b1df69a683d8cca/a03d3eab/Crossroad-070419_231502-S353-E359.png),Crossroad-070419_231502-S353-E359.wav (https://dl.airtable.com/.attachments/0dda54cd5e223f971fc9022a90fb00eb/1a834931/Crossroad-070419_231502-S353-E359.wav),Male,6.0,2019-04-08 11:20,Secretary_Island/Crossroad,
Crossroad-070419_231502-S365-E392,Junk,,Crossroad-070419_231502-S365-E392.png (https://dl.airtable.com/.attachments/185bcd225692346bbd0eb560016ebd90/ee49088b/Crossroad-070419_231502-S365-E392.png),Crossroad-070419_231502-S365-E392.wav (https://dl.airtable.com/.attachments/291552b43070dd126974d59f80399eda/77e4e1f5/Crossroad-070419_231502-S365-E392.wav),Male,27.0,2019-04-08 11:21,Secretary_Island/Crossroad,
Crossroad-070419_231502-S402-E409,Junk,,Crossroad-070419_231502-S402-E409.png (https://dl.airtable.com/.attachments/1f4e9e5b23d554c4627872cc19e6a30e/c9794995/Crossroad-070419_231502-S402-E409.png),Crossroad-070419_231502-S402-E409.wav (https://dl.airtable.com/.attachments/8e79151d258df731bef5fd199df8f79a/3be95850/Crossroad-070419_231502-S402-E409.wav),Male,7.0,2019-04-08 11:21,Secretary_Island/Crossroad,
Crossroad-070419_231502-S469-E487,Junk,,Crossroad-070419_231502-S469-E487.png (https://dl.airtable.com/.attachments/bdc268a5c83d80321c850fb7cfcedb7f/6c9ab569/Crossroad-070419_231502-S469-E487.png),Crossroad-070419_231502-S469-E487.wav (https://dl.airtable.com/.attachments/26a0b41aecde12264ca28dd37a67e409/4752247b/Crossroad-070419_231502-S469-E487.wav),Male,18.0,2019-04-08 11:22,Secretary_Island/Crossroad,
Crossroad-070419_231502-S497-E504,Junk,,Crossroad-070419_231502-S497-E504.png (https://dl.airtable.com/.attachments/0dd3c2418088eea5c8042efa428be9b4/0afea4a7/Crossroad-070419_231502-S497-E504.png),Crossroad-070419_231502-S497-E504.wav (https://dl.airtable.com/.attachments/1c818ea43ed9c20f6698e2ee0baac40f/5b4829e7/Crossroad-070419_231502-S497-E504.wav),Male,7.0,2019-04-08 11:23,Secretary_Island/Crossroad,
Crossroad-070419_231502-S654-E670,Junk,,Crossroad-070419_231502-S654-E670.png (https://dl.airtable.com/.attachments/6684e7760016aa498f32ebde70898a55/830b9020/Crossroad-070419_231502-S654-E670.png),Crossroad-070419_231502-S654-E670.wav (https://dl.airtable.com/.attachments/68d89e767eb3c72cc7c3f9b2ed1b85ed/d21c3197/Crossroad-070419_231502-S654-E670.wav),Male,16.0,2019-04-08 11:25,Secretary_Island/Crossroad,
Crossroad-070419_231502-S679-E689,Junk,,Crossroad-070419_231502-S679-E689.png (https://dl.airtable.com/.attachments/c17f2ddabb26a5bd7d8b3df7c448b22d/710848ff/Crossroad-070419_231502-S679-E689.png),Crossroad-070419_231502-S679-E689.wav (https://dl.airtable.com/.attachments/0b446a517f8ee8ae7cbb9cff36c153aa/13addb98/Crossroad-070419_231502-S679-E689.wav),Male,10.0,2019-04-08 11:26,Secretary_Island/Crossroad,
Crossroad-070419_231502-S695-E702,Junk,,Crossroad-070419_231502-S695-E702.png (https://dl.airtable.com/.attachments/ad97c24c86f3cea465e117dec19352d9/e8e9f520/Crossroad-070419_231502-S695-E702.png),Crossroad-070419_231502-S695-E702.wav (https://dl.airtable.com/.attachments/9b0de6440ca9db950a5b3c72b378df5e/32dea15a/Crossroad-070419_231502-S695-E702.wav),Male,7.0,2019-04-08 11:26,Secretary_Island/Crossroad,
Lake_Sec-170519_233002-S604-E611,Junk,,Lake_Sec-170519_233002-S604-E611.png (https://dl.airtable.com/.attachments/cd2dd141ad2fa10b709cb38695cc3d44/cb851cad/Lake_Sec-170519_233002-S604-E611.png),Lake_Sec-170519_233002-S604-E611.wav (https://dl.airtable.com/.attachments/1b0a5f0d47d015eece2e5cd26e6dcfb1/d9342db1/Lake_Sec-170519_233002-S604-E611.wav),Male,7.0,2019-05-18 11:40,Secretary_Island/Lake_Sec,
Lake_Sec-170519_234502-S311-E321,Junk,,Lake_Sec-170519_234502-S311-E321.png (https://dl.airtable.com/.attachments/99937ecbeadfe1e7f916dc74b453ab53/9fc47c3a/Lake_Sec-170519_234502-S311-E321.png),Lake_Sec-170519_234502-S311-E321.wav (https://dl.airtable.com/.attachments/2d62ec4cde21f7b740d9370ce36b501e/583b2766/Lake_Sec-170519_234502-S311-E321.wav),Female,10.0,2019-05-18 11:50,Secretary_Island/Lake_Sec,
Lake_Sec-170519_234502-S352-E365,Junk,,Lake_Sec-170519_234502-S352-E365.png (https://dl.airtable.com/.attachments/370df1001159d709e704f9bd592669fe/3ac3ea74/Lake_Sec-170519_234502-S352-E365.png),Lake_Sec-170519_234502-S352-E365.wav (https://dl.airtable.com/.attachments/c31d6e177b640989c9092a798db1d7d5/88a792c7/Lake_Sec-170519_234502-S352-E365.wav),Female,13.0,2019-05-18 11:50,Secretary_Island/Lake_Sec,
Lake_Sec-170519_234502-S367-E377,Junk,,Lake_Sec-170519_234502-S367-E377.png (https://dl.airtable.com/.attachments/df279b9daaf474ef085c1cf5da7c5430/46c8e102/Lake_Sec-170519_234502-S367-E377.png),Lake_Sec-170519_234502-S367-E377.wav (https://dl.airtable.com/.attachments/2eb7a00d06370671cf437b52c576e440/0328cb26/Lake_Sec-170519_234502-S367-E377.wav),Female,10.0,2019-05-18 11:51,Secretary_Island/Lake_Sec,
Lake_Sec-170519_234502-S551-E557,Junk,,Lake_Sec-170519_234502-S551-E557.png (https://dl.airtable.com/.attachments/681498eb44c69e24aa6b3f4b9fb47385/7f4a1e0b/Lake_Sec-170519_234502-S551-E557.png),Lake_Sec-170519_234502-S551-E557.wav (https://dl.airtable.com/.attachments/9bcbe5dae7776cab563fc8c56f849b2c/56822020/Lake_Sec-170519_234502-S551-E557.wav),Female,6.0,2019-05-18 11:54,Secretary_Island/Lake_Sec,
Lake_Sec-170519_234502-S563-E569,Junk,,Lake_Sec-170519_234502-S563-E569.png (https://dl.airtable.com/.attachments/b9d6eb4df5e3e55384f6ecb9ad6a761b/62e7da48/Lake_Sec-170519_234502-S563-E569.png),Lake_Sec-170519_234502-S563-E569.wav (https://dl.airtable.com/.attachments/ac6749046fe981ce7b509324dbccfd18/428565c2/Lake_Sec-170519_234502-S563-E569.wav),Female,6.0,2019-05-18 11:54,Secretary_Island/Lake_Sec,
Lake_Sec-170519_234502-S575-E590,Junk,,Lake_Sec-170519_234502-S575-E590.png (https://dl.airtable.com/.attachments/3bac9075cf1ec50365a4c6f3c309b2b8/14e0afd0/Lake_Sec-170519_234502-S575-E590.png),Lake_Sec-170519_234502-S575-E590.wav (https://dl.airtable.com/.attachments/d9af5348e8276883aff8a102fcb27fcb/9db15e41/Lake_Sec-170519_234502-S575-E590.wav),Female,15.0,2019-05-18 11:54,Secretary_Island/Lake_Sec,
Lake_Sec-170519_234502-S682-E691,Junk,,Lake_Sec-170519_234502-S682-E691.png (https://dl.airtable.com/.attachments/238ffdffebc6604d299e384c4d5c9eee/8e2f6a0b/Lake_Sec-170519_234502-S682-E691.png),Lake_Sec-170519_234502-S682-E691.wav (https://dl.airtable.com/.attachments/2e8a58ee7474e70bb33e18471efda284/4d446644/Lake_Sec-170519_234502-S682-E691.wav),Female,9.0,2019-05-18 11:56,Secretary_Island/Lake_Sec,
Lake_Sec-170519_234502-S381-E388,Junk,,Lake_Sec-170519_234502-S381-E388.png (https://dl.airtable.com/.attachments/6e393b056cbebccf222c98dc7a5f17b4/f83a1265/Lake_Sec-170519_234502-S381-E388.png),Lake_Sec-170519_234502-S381-E388.wav (https://dl.airtable.com/.attachments/3792a6f8c5844ffd8276a622f3451500/479b8f19/Lake_Sec-170519_234502-S381-E388.wav),Male,7.0,2019-05-18 11:51,Secretary_Island/Lake_Sec,
Lake_Sec-170519_234502-S422-E431,Junk,,Lake_Sec-170519_234502-S422-E431.png (https://dl.airtable.com/.attachments/9dd4e6608134a1b18eceb168a78214e0/e3b0fef7/Lake_Sec-170519_234502-S422-E431.png),Lake_Sec-170519_234502-S422-E431.wav (https://dl.airtable.com/.attachments/d26ebf91f970dc9c3c9ca95c461f3d7a/2c7975fb/Lake_Sec-170519_234502-S422-E431.wav),Male,9.0,2019-05-18 11:52,Secretary_Island/Lake_Sec,
Crossroad-140319_231502-S872-E879,Junk,,Crossroad-140319_231502-S872-E879.png (https://dl.airtable.com/.attachments/387758929cca3c71d661fdcc17ae8c5f/9450480f/Crossroad-140319_231502-S872-E879.png),Crossroad-140319_231502-S872-E879.wav (https://dl.airtable.com/.attachments/af827ad4bd73ca0363040a2a9d87afbb/2002c17f/Crossroad-140319_231502-S872-E879.wav),Male,7.0,2019-03-15 12:29,Secretary_Island/Crossroad,
