File Name,Label,Comment,Image,Audio,Call Type,Length (seconds),Start Time,Trap Number,Collaborators
Grono-210419_230002-S510-E522,Kiwi,,Grono-210419_230002-S510-E522.png (https://dl.airtable.com/.attachments/32939b8cce55ab8518c4fd9bd17dd3c0/05fc68b3/Grono-210419_230002-S510-E522.png),Grono-210419_230002-S510-E522.wav (https://dl.airtable.com/.attachments/42a84bc5d47484298759563bbe780b96/b4982c0a/Grono-210419_230002-S510-E522.wav),Male,12.0,2019-04-22 11:08,Secretary_Island/Grono,
Grono-210419_230002-S787-E802,Kiwi,,Grono-210419_230002-S787-E802.png (https://dl.airtable.com/.attachments/78c80ed884d963f35c2d922c4c2e85b1/d1ea3bcf/Grono-210419_230002-S787-E802.png),Grono-210419_230002-S787-E802.wav (https://dl.airtable.com/.attachments/c16910357f73f50e403b8d653d92c733/55230370/Grono-210419_230002-S787-E802.wav),Male,15.0,2019-04-22 11:13,Secretary_Island/Grono,
Grono-210419_230002-S838-E844,Kiwi,,Grono-210419_230002-S838-E844.png (https://dl.airtable.com/.attachments/d1ad365745a655d792436fed13a9632b/99c33c58/Grono-210419_230002-S838-E844.png),Grono-210419_230002-S838-E844.wav (https://dl.airtable.com/.attachments/acec08b46a7224342d5e110ade006724/530207aa/Grono-210419_230002-S838-E844.wav),Male,6.0,2019-04-22 11:14,Secretary_Island/Grono,
Grono-210419_231502-S226-E233,Kiwi,,Grono-210419_231502-S226-E233.png (https://dl.airtable.com/.attachments/c50aa12c25a3d324c23d676b57def187/67455dba/Grono-210419_231502-S226-E233.png),Grono-210419_231502-S226-E233.wav (https://dl.airtable.com/.attachments/6db059d661a99612d3a19ed064d6735d/993c3dd1/Grono-210419_231502-S226-E233.wav),Male,7.0,2019-04-22 11:18,Secretary_Island/Grono,
Grono-220319_220001-S96-E111,Kiwi,,Grono-220319_220001-S96-E111.png (https://dl.airtable.com/.attachments/77b3348340418485804c21c25a90b4a0/32e1679f/Grono-220319_220001-S96-E111.png),Grono-220319_220001-S96-E111.wav (https://dl.airtable.com/.attachments/2b381a6d1c83bb3f4e7101c569979516/5be339c2/Grono-220319_220001-S96-E111.wav),Male,15.0,2019-03-23 11:01,Secretary_Island/Grono,
Grono-220319_224502-S312-E319,Investigate,Kiwi?,Grono-220319_224502-S312-E319.png (https://dl.airtable.com/.attachments/6ad21a7228c3a43da2ce5e5e9d75932b/6b973fe3/Grono-220319_224502-S312-E319.png),Grono-220319_224502-S312-E319.wav (https://dl.airtable.com/.attachments/6354fc7c81f44c50596f2a76b8d36d53/70835b6c/Grono-220319_224502-S312-E319.wav),Male,7.0,2019-03-23 11:50,Secretary_Island/Grono,
Grono-220319_231502-S266-E275,Kiwi,,Grono-220319_231502-S266-E275.png (https://dl.airtable.com/.attachments/a3513ea51eb721e745ceeeb202ba04cc/06dc6d3d/Grono-220319_231502-S266-E275.png),Grono-220319_231502-S266-E275.wav (https://dl.airtable.com/.attachments/ee5658de0457ae8fcf5fb498e819f2fd/51a48f97/Grono-220319_231502-S266-E275.wav),Female,9.0,2019-03-23 12:19,Secretary_Island/Grono,
Grono-220319_231502-S287-E305,Kiwi,,Grono-220319_231502-S287-E305.png (https://dl.airtable.com/.attachments/686adeccdb58993868800c3796fdf763/1f9e3c00/Grono-220319_231502-S287-E305.png),Grono-220319_231502-S287-E305.wav (https://dl.airtable.com/.attachments/ec4cd0c09894b12de9b32408ebec6b55/a1a86f7c/Grono-220319_231502-S287-E305.wav),Male,18.0,2019-03-23 12:19,Secretary_Island/Grono,
Grono-220319_231502-S782-E809,Kiwi,,Grono-220319_231502-S782-E809.png (https://dl.airtable.com/.attachments/2ed4146e2167d633475c6bd2b23528c3/d426ec69/Grono-220319_231502-S782-E809.png),Grono-220319_231502-S782-E809.wav (https://dl.airtable.com/.attachments/bd0e9b3d567503197f5078cdfdf8da70/831056a1/Grono-220319_231502-S782-E809.wav),Male,27.0,2019-03-23 12:28,Secretary_Island/Grono,
Grono-220319_233002-S503-E515,Kiwi,,Grono-220319_233002-S503-E515.png (https://dl.airtable.com/.attachments/e3778811c36669aebb56095909619f76/bc632787/Grono-220319_233002-S503-E515.png),Grono-220319_233002-S503-E515.wav (https://dl.airtable.com/.attachments/3edef7b56428ea0b153570ddde5d9e91/e9153b34/Grono-220319_233002-S503-E515.wav),Male,12.0,2019-03-23 12:38,Secretary_Island/Grono,
